id,AssetID,ComplianceStatus,RegulatoryReferences,Documentation
ComplianceRecord_A1,A1,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A2,A2,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A3,A3,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A4,A4,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A5,A5,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A6,A6,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A7,A7,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A8,A8,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A9,A9,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A10,A10,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A11,A11,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A12,A12,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A13,A13,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A14,A14,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A15,A15,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A16,A16,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A17,A17,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A18,A18,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A19,A19,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A20,A20,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A21,A21,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A22,A22,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A23,A23,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A24,A24,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A25,A25,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A26,A26,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A27,A27,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A28,A28,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A29,A29,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A30,A30,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A31,A31,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A32,A32,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A33,A33,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A34,A34,Compliant,Regulatory references details...,Documentation details...
